or-100-5-10-UC-40.cnf_no_p.cnf 0.76
or-100-5-10-UC-50.cnf_no_p.cnf 0.74
or-100-5-10-UC-60.cnf_no_p.cnf 0.75
or-100-5-1-UC-10.cnf_no_p.cnf 1261.09
or-100-5-1-UC-20.cnf_no_p.cnf 4.46
or-100-5-1-UC-30.cnf_no_p.cnf 0.73
or-100-5-1-UC-40.cnf_no_p.cnf 0.77
or-100-5-1-UC-50.cnf_no_p.cnf 0.79
or-100-5-1-UC-60.cnf_no_p.cnf 0.77
or-100-5-2-UC-20.cnf_no_p.cnf 99.49
or-100-5-2-UC-30.cnf_no_p.cnf 3.77
or-100-5-2-UC-40.cnf_no_p.cnf 0.98
or-100-5-2-UC-50.cnf_no_p.cnf 0.81
or-100-5-2-UC-60.cnf_no_p.cnf 0.71
or-100-5-3-UC-10.cnf_no_p.cnf 169.80
or-100-5-3-UC-20.cnf_no_p.cnf 1.08
or-100-5-3-UC-30.cnf_no_p.cnf 1.02
or-100-5-3-UC-40.cnf_no_p.cnf 0.80
or-100-5-3-UC-50.cnf_no_p.cnf 0.74
or-100-5-3-UC-60.cnf_no_p.cnf 0.94
or-100-5-4-UC-30.cnf_no_p.cnf 1.93
or-100-5-4-UC-40.cnf_no_p.cnf 0.76
or-100-5-4-UC-50.cnf_no_p.cnf 0.61
or-100-5-4-UC-60.cnf_no_p.cnf 0.69
or-100-5-5-UC-20.cnf_no_p.cnf 78.52
or-100-5-5-UC-30.cnf_no_p.cnf 2.20
or-100-5-5-UC-40.cnf_no_p.cnf 0.85
or-100-5-5-UC-50.cnf_no_p.cnf 0.74
or-100-5-5-UC-60.cnf_no_p.cnf 0.74
or-100-5-6-UC-10.cnf_no_p.cnf 1138.77
or-100-5-6-UC-20.cnf_no_p.cnf 2.04
or-100-5-6-UC-30.cnf_no_p.cnf 0.96
or-100-5-6-UC-40.cnf_no_p.cnf 0.81
or-100-5-6-UC-50.cnf_no_p.cnf 0.78
or-100-5-6-UC-60.cnf_no_p.cnf 0.71
or-100-5-7-UC-20.cnf_no_p.cnf 138.38
or-100-5-7-UC-30.cnf_no_p.cnf 1.51
or-100-5-7-UC-40.cnf_no_p.cnf 0.83
or-100-5-7-UC-50.cnf_no_p.cnf 0.80
or-100-5-7-UC-60.cnf_no_p.cnf 0.81
or-100-5-8-UC-20.cnf_no_p.cnf 32.35
or-100-5-8-UC-30.cnf_no_p.cnf 1.34
or-100-5-8-UC-40.cnf_no_p.cnf 0.72
or-100-5-8-UC-50.cnf_no_p.cnf 0.73
